Timestamp,Hostname,EventID,Image,CommandLine,ParentImage,ParentCommandLine,User,TargetImage,GrantedAccess,DestinationIP,DestinationPort,Protocol
2026-07-14 08:16:26,SRV-FILE-01,1,teams.exe,,explorer.exe,,svc_backup,,,,,
2026-07-14 08:27:14,WKS-HR-03,1,chrome.exe,,explorer.exe,,r.patel,,,,,
2026-07-14 08:31:43,WKS-ENG-12,1,chrome.exe,,explorer.exe,,t.oconnor,,,,,
2026-07-14 08:35:09,WKS-IT-02,1,teams.exe,,explorer.exe,,j.alvarez,,,,,
2026-07-14 08:40:29,WKS-IT-02,1,chrome.exe,,explorer.exe,,j.alvarez,,,,,
2026-07-14 08:48:38,WKS-ENG-12,1,teams.exe,,explorer.exe,,t.oconnor,,,,,
2026-07-14 08:58:19,WKS-HR-03,1,outlook.exe,,explorer.exe,,r.patel,,,,,
2026-07-14 08:59:08,SRV-FILE-01,1,teams.exe,,explorer.exe,,svc_backup,,,,,
2026-07-14 09:05:10,WKS-HR-03,1,chrome.exe,,explorer.exe,,r.patel,,,,,
2026-07-14 09:14:32,WKS-ENG-12,1,onedrive.exe,,explorer.exe,,t.oconnor,,,,,
2026-07-14 09:14:55,WKS-FIN-07,1,WINWORD.EXE,"winword.exe /n ""Invoice_84421.docm""",explorer.exe,,s.jenkins,,,,,
2026-07-14 09:16:12,WKS-FIN-07,1,powershell.exe,powershell.exe -nop -w hidden -enc <base64-encoded-command>,WINWORD.EXE,winword.exe,s.jenkins,,,,,
2026-07-14 09:16:40,WKS-FIN-07,3,powershell.exe,,,,s.jenkins,,,203.0.113.55,443,TCP
2026-07-14 09:23:39,WKS-HR-03,1,teams.exe,,explorer.exe,,k.wright,,,,,
2026-07-14 09:29:15,WKS-FIN-07,1,teams.exe,,explorer.exe,,s.jenkins,,,,,
2026-07-14 09:29:37,WKS-HR-03,1,chrome.exe,,explorer.exe,,k.wright,,,,,
2026-07-14 09:35:40,WKS-ENG-12,1,chrome.exe,,explorer.exe,,t.oconnor,,,,,
2026-07-14 09:45:02,WKS-FIN-07,1,svchost_upd.exe,svchost_upd.exe --dump,powershell.exe,,s.jenkins,,,,,
2026-07-14 09:45:09,WKS-FIN-07,10,svchost_upd.exe,,,,s.jenkins,C:\Windows\System32\lsass.exe,0x1010,,
2026-07-14 09:48:50,WKS-ENG-12,1,outlook.exe,,explorer.exe,,t.oconnor,,,,,
2026-07-14 09:50:10,WKS-HR-03,1,acrord32.exe,,chrome.exe,,r.patel,,,,,
2026-07-14 09:53:59,WKS-ENG-12,1,teams.exe,,explorer.exe,,m.chen,,,,,
2026-07-14 10:03:57,WKS-IT-02,1,acrord32.exe,,chrome.exe,,j.alvarez,,,,,
2026-07-14 10:09:06,WKS-HR-03,1,outlook.exe,,explorer.exe,,k.wright,,,,,
2026-07-14 10:26:14,WKS-ENG-12,1,onedrive.exe,,explorer.exe,,t.oconnor,,,,,
2026-07-14 10:30:21,WKS-ENG-12,1,psexesvc.exe,psexesvc.exe -accepteula \\WKS-ENG-12 -s cmd.exe,services.exe,,j.alvarez,,,,,
2026-07-14 10:45:29,WKS-HR-03,1,psexesvc.exe,psexesvc.exe -accepteula \\WKS-HR-03 -s cmd.exe,services.exe,,j.alvarez,,,,,
2026-07-14 10:49:52,WKS-FIN-07,1,acrord32.exe,,chrome.exe,,s.jenkins,,,,,
2026-07-14 10:52:38,WKS-HR-03,1,chrome.exe,,explorer.exe,,k.wright,,,,,
2026-07-14 10:55:44,SRV-FILE-01,1,psexesvc.exe,psexesvc.exe -accepteula \\SRV-FILE-01 -s cmd.exe,services.exe,,j.alvarez,,,,,
2026-07-14 11:04:27,WKS-ENG-12,1,chrome.exe,,explorer.exe,,t.oconnor,,,,,
2026-07-14 11:06:18,SRV-FILE-01,1,outlook.exe,,explorer.exe,,svc_backup,,,,,
2026-07-14 11:07:44,SRV-DC-01,1,psexesvc.exe,psexesvc.exe -accepteula \\SRV-DC-01 -s cmd.exe,services.exe,,j.alvarez,,,,,
2026-07-14 11:10:43,WKS-HR-03,1,acrord32.exe,,chrome.exe,,r.patel,,,,,
2026-07-14 11:58:19,WKS-ENG-12,1,teams.exe,,explorer.exe,,m.chen,,,,,
2026-07-14 12:16:04,WKS-IT-02,1,onedrive.exe,,explorer.exe,,j.alvarez,,,,,
2026-07-14 12:24:30,WKS-HR-03,1,chrome.exe,,explorer.exe,,k.wright,,,,,
2026-07-14 12:25:44,WKS-FIN-07,1,teams.exe,,explorer.exe,,s.jenkins,,,,,
2026-07-14 12:31:00,SRV-FILE-01,1,7z.exe,"7z.exe a -mx1 archive_backup.7z ""\\SRV-FILE-01\Shared\*""",cmd.exe,,j.alvarez,,,,,
2026-07-14 12:42:01,WKS-FIN-07,1,excel.exe,,explorer.exe,,s.jenkins,,,,,
